email,password
shopper1@example.com,shopper123
shopper2@example.com,shopper123
shopper3@example.com,shopper123
shopper4@example.com,shopper123
shopper5@example.com,shopper123
shopper6@example.com,shopper123
shopper7@example.com,shopper123
shopper8@example.com,shopper123
shopper9@example.com,shopper123
shopper10@example.com,shopper123
shopper11@example.com,shopper123
shopper12@example.com,shopper123
shopper13@example.com,shopper123
shopper14@example.com,shopper123
shopper15@example.com,shopper123
shopper16@example.com,shopper123
shopper17@example.com,shopper123
shopper18@example.com,shopper123
shopper19@example.com,shopper123
shopper20@example.com,shopper123
shopper21@example.com,shopper123
shopper22@example.com,shopper123
shopper23@example.com,shopper123
shopper24@example.com,shopper123
shopper25@example.com,shopper123
shopper26@example.com,shopper123
shopper27@example.com,shopper123
shopper28@example.com,shopper123
shopper29@example.com,shopper123
shopper30@example.com,shopper123
shopper31@example.com,shopper123
shopper32@example.com,shopper123
shopper33@example.com,shopper123
shopper34@example.com,shopper123
shopper35@example.com,shopper123
shopper36@example.com,shopper123
shopper37@example.com,shopper123
shopper38@example.com,shopper123
shopper39@example.com,shopper123
shopper40@example.com,shopper123
shopper41@example.com,shopper123
shopper42@example.com,shopper123
shopper43@example.com,shopper123
shopper44@example.com,shopper123
shopper45@example.com,shopper123
shopper46@example.com,shopper123
shopper47@example.com,shopper123
shopper48@example.com,shopper123
shopper49@example.com,shopper123
shopper50@example.com,shopper123

